Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
Logistic Regression,66,0.5592105263157895,0.5579501915708812,0.5168651264291475,0.5555555555555556,0.09876280883198603,0.592911877394636
SVM (Linear),66,0.5460526315789473,0.5493295019157088,0.5065631616090331,0.5555555555555556,0.08395411643966964,0.5902777777777779
SVM (RBF),66,0.5921052631578947,0.5603448275862069,0.5331880324945513,0.5,0.10440785943762591,0.585727969348659
MLP (Basic),66,0.5855263157894737,0.5272988505747127,0.5120012230545788,0.4166666666666667,0.04794633014853842,0.5112547892720306
MLP (Deep),66,0.6513157894736842,0.5512452107279694,0.5467791842475387,0.3611111111111111,0.09674221957254242,0.5557950191570882
MLP (Very Deep),66,0.6052631578947368,0.5210727969348659,0.5135481117985918,0.3611111111111111,0.038137070949438544,0.5272988505747126
XGBoost,66,0.47368421052631576,0.4923371647509579,0.44596318571168214,0.5277777777777778,-0.013072052481389491,0.5220306513409961
Random Forest,66,0.6447368421052632,0.5277777777777778,0.5263157894736843,0.3055555555555556,0.05363752536223243,0.5385536398467433
Gradient Boosting,66,0.7039473684210527,0.5090996168582376,0.5005476451259584,0.1388888888888889,0.023395413544786546,0.5227490421455938
AdaBoost,66,0.6513157894736842,0.5033524904214559,0.5031760715386987,0.2222222222222222,0.006914285938445658,0.516044061302682
HistGradientBoosting,66,0.6710526315789473,0.5545977011494253,0.5534665099882492,0.3333333333333333,0.10721125348377947,0.5414272030651341
K-Nearest Neighbors,66,0.6381578947368421,0.5426245210727969,0.5371754415102696,0.3611111111111111,0.07939106122908456,0.5683668582375477
Logistic Regression,20,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.49233716475095785
SVM (Linear),20,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.4887452107279694
SVM (RBF),20,0.625,0.4956896551724138,0.49554585152838426,0.25,-0.008391715089236343,0.5083812260536398
MLP (Basic),20,0.6447368421052632,0.5469348659003831,0.5419642857142857,0.3611111111111111,0.08799694724424045,0.5119731800766283
MLP (Deep),20,0.5855263157894737,0.46024904214559387,0.4612658227848101,0.2222222222222222,-0.07504303013571047,0.4564176245210728
MLP (Very Deep),20,0.618421052631579,0.49137931034482757,0.49122807017543857,0.25,-0.01664612856069282,0.4815613026819923
XGBoost,20,0.5328947368421053,0.521551724137931,0.48802125338014135,0.5,0.036729970226771665,0.5548371647509578
Random Forest,20,0.6973684210526315,0.485632183908046,0.46642246642246643,0.08333333333333333,-0.03980810970615512,0.5126915708812261
Gradient Boosting,20,0.6973684210526315,0.4664750957854406,0.4309895833333333,0.027777777777777776,-0.10571172154269268,0.5407088122605364
AdaBoost,20,0.6644736842105263,0.44492337164750956,0.4172742990302939,0.027777777777777776,-0.14858885692655843,0.5718390804597702
HistGradientBoosting,20,0.6513157894736842,0.48419540229885055,0.4814290312198262,0.16666666666666666,-0.03420126200462674,0.4475574712643678
K-Nearest Neighbors,20,0.625,0.5052681992337165,0.5043194690771784,0.2777777777777778,0.010092970728870053,0.5307710727969348
Logistic Regression,87,0.6447368421052632,0.4990421455938697,0.4989010989010989,0.2222222222222222,-0.0019544712203732424,0.49784482758620685
SVM (Linear),87,0.5855263157894737,0.51772030651341,0.5059588299024919,0.3888888888888889,0.0313555381223291,0.5023946360153256
SVM (RBF),87,0.5394736842105263,0.5162835249042146,0.4884615384615385,0.4722222222222222,0.027846111897709185,0.49688697318007663
MLP (Basic),87,0.5526315789473685,0.4770114942528736,0.47005742411812956,0.3333333333333333,-0.040522044923655395,0.5117337164750958
MLP (Deep),87,0.5592105263157895,0.43342911877394635,0.436195537839783,0.19444444444444445,-0.12399278102070509,0.47461685823754785
MLP (Very Deep),87,0.618421052631579,0.5296934865900383,0.5229437229437229,0.3611111111111111,0.05431679641444409,0.5287356321839081
XGBoost,87,0.5657894736842105,0.5047892720306514,0.4917933130699088,0.3888888888888889,0.008383045488384745,0.501676245210728
Random Forest,87,0.6710526315789473,0.47796934865900387,0.4673395009812167,0.1111111111111111,-0.05324202456275273,0.5221503831417624
Gradient Boosting,87,0.6710526315789473,0.4875478927203065,0.4808743169398907,0.1388888888888889,-0.029036381151856944,0.46791187739463597
AdaBoost,87,0.6578947368421053,0.45977011494252873,0.44603308102046535,0.08333333333333333,-0.09722456659285282,0.45522030651341
HistGradientBoosting,87,0.6381578947368421,0.5043103448275862,0.5042400521852577,0.25,0.008540287156800564,0.48802681992337166
K-Nearest Neighbors,87,0.5460526315789473,0.43438697318007663,0.43658340048348104,0.2222222222222222,-0.11936683015643917,0.4305555555555556
Logistic Regression,141,0.6052631578947368,0.5498084291187739,0.5324036095159967,0.4444444444444444,0.08779776400125335,0.5098180076628352
SVM (Linear),141,0.5789473684210527,0.5325670498084292,0.5128205128205128,0.4444444444444444,0.05665250531028743,0.5092193486590038
SVM (RBF),141,0.6118421052631579,0.4583333333333333,0.4578976001934353,0.16666666666666666,-0.08415347337933878,0.4822796934865901
MLP (Basic),141,0.6052631578947368,0.5019157088122606,0.4990112063282795,0.3055555555555556,0.0035457481843903836,0.49568965517241376
MLP (Deep),141,0.5657894736842105,0.4952107279693486,0.48564397046759633,0.3611111111111111,-0.008442092692428207,0.5021551724137931
MLP (Very Deep),141,0.5789473684210527,0.46551724137931033,0.4656119534168314,0.25,-0.06382346731902691,0.5033524904214559
XGBoost,141,0.5723684210526315,0.5186781609195402,0.5023923444976077,0.4166666666666667,0.03258943815557259,0.5234674329501916
Random Forest,141,0.6381578947368421,0.5043103448275862,0.5042400521852577,0.25,0.008540287156800564,0.548132183908046
Gradient Boosting,141,0.6381578947368421,0.4755747126436781,0.4735184835317085,0.16666666666666666,-0.05154379491548269,0.5493295019157087
AdaBoost,141,0.6513157894736842,0.47461685823754785,0.469406573141013,0.1388888888888889,-0.05647012217494524,0.48970306513409956
HistGradientBoosting,141,0.6710526315789473,0.564176245210728,0.5614035087719298,0.3611111111111111,0.12392117928515768,0.5589080459770115
K-Nearest Neighbors,141,0.5,0.44252873563218387,0.4337254901960784,0.3333333333333333,-0.09897594780811199,0.4346264367816092
Logistic Regression,69,0.5394736842105263,0.47796934865900387,0.4671474358974359,0.3611111111111111,-0.038323753592253255,0.471264367816092
SVM (Linear),69,0.5328947368421053,0.5023946360153256,0.47872289040235716,0.4444444444444444,0.0041011238660317246,0.4796455938697318
SVM (RBF),69,0.6118421052631579,0.5158045977011494,0.5110941503570844,0.3333333333333333,0.029077034229356452,0.4614463601532567
MLP (Basic),69,0.5921052631578947,0.48371647509578547,0.48231157987255546,0.2777777777777778,-0.030138859567318262,0.5023946360153256
MLP (Deep),69,0.618421052631579,0.49137931034482757,0.49122807017543857,0.25,-0.01664612856069282,0.5059865900383141
MLP (Very Deep),69,0.631578947368421,0.5287356321839081,0.525,0.3333333333333333,0.053875681986269665,0.5069444444444444
XGBoost,69,0.5986842105263158,0.5550766283524904,0.5330143540669856,0.4722222222222222,0.09609706122797046,0.5608237547892719
Random Forest,69,0.6644736842105263,0.521551724137931,0.5219241443108233,0.25,0.044448981032864945,0.51772030651341
Gradient Boosting,69,0.6842105263157895,0.5057471264367817,0.5016393442622951,0.16666666666666666,0.013401406685472437,0.5323275862068966
AdaBoost,69,0.6644736842105263,0.48323754789272033,0.4770289415098158,0.1388888888888889,-0.03844819232324783,0.4949712643678161
HistGradientBoosting,69,0.6513157894736842,0.5033524904214559,0.5031760715386987,0.2222222222222222,0.006914285938445658,0.4935344827586207
K-Nearest Neighbors,69,0.5789473684210527,0.47509578544061304,0.47359307359307357,0.2777777777777778,-0.04555602279921117,0.4436063218390804
Logistic Regression,87,0.5921052631578947,0.5507662835249042,0.5280448717948718,0.4722222222222222,0.08831125827780098,0.5452586206896551
SVM (Linear),87,0.5789473684210527,0.5421455938697317,0.5181295819298594,0.4722222222222222,0.07291977484532604,0.5368773946360154
SVM (RBF),87,0.5986842105263158,0.49760536398467436,0.4945210707081721,0.3055555555555556,-0.00440561124687219,0.5179597701149425
MLP (Basic),87,0.618421052631579,0.49137931034482757,0.49122807017543857,0.25,-0.01664612856069282,0.507183908045977
MLP (Deep),87,0.5986842105263158,0.48802681992337166,0.4866854896750263,0.2777777777777778,-0.022300859895810266,0.524904214559387
MLP (Very Deep),87,0.6118421052631579,0.5253831417624522,0.5182379801235563,0.3611111111111111,0.046178408746651654,0.48659003831417624
XGBoost,87,0.5328947368421053,0.521551724137931,0.48802125338014135,0.5,0.036729970226771665,0.5079022988505747
Random Forest,87,0.5789473684210527,0.42720306513409967,0.4284371327849589,0.1388888888888889,-0.14294833797837264,0.478448275862069
Gradient Boosting,87,0.6118421052631579,0.4487547892720306,0.446931853222325,0.1388888888888889,-0.10568979934481221,0.4798850574712644
AdaBoost,87,0.6381578947368421,0.4755747126436781,0.4735184835317085,0.16666666666666666,-0.05154379491548269,0.5043103448275862
HistGradientBoosting,87,0.5986842105263158,0.4497126436781609,0.45015714878728574,0.16666666666666666,-0.09963668349600659,0.5191570881226054
K-Nearest Neighbors,87,0.5394736842105263,0.4492337164750958,0.4475597092419522,0.2777777777777778,-0.09019359420063988,0.45677681992337166
Logistic Regression,90,0.6710526315789473,0.5162835249042146,0.5161701044053986,0.2222222222222222,0.03478709159322462,0.5431034482758621
SVM (Linear),90,0.5723684210526315,0.5186781609195402,0.5023923444976077,0.4166666666666667,0.03258943815557259,0.5493295019157088
SVM (RBF),90,0.631578947368421,0.5,0.49988249118683903,0.25,0.0,0.5256226053639848
MLP (Basic),90,0.618421052631579,0.5296934865900383,0.5229437229437229,0.3611111111111111,0.05431679641444409,0.5411877394636015
MLP (Deep),90,0.6578947368421053,0.5555555555555556,0.551622418879056,0.3611111111111111,0.10563716750846341,0.5938697318007662
MLP (Very Deep),90,0.6381578947368421,0.5426245210727969,0.5371754415102696,0.3611111111111111,0.07939106122908456,0.5881226053639848
XGBoost,90,0.5328947368421053,0.5023946360153256,0.47872289040235716,0.4444444444444444,0.0041011238660317246,0.5043103448275861
Random Forest,90,0.6776315789473685,0.5205938697318008,0.520566462825877,0.2222222222222222,0.04456528079390757,0.5217911877394636
Gradient Boosting,90,0.6842105263157895,0.48659003831417624,0.4746543778801843,0.1111111111111111,-0.033731512431528755,0.49784482758620696
AdaBoost,90,0.6973684210526315,0.514367816091954,0.5099523409027193,0.16666666666666666,0.03472305949744744,0.5407088122605365
HistGradientBoosting,90,0.6513157894736842,0.49377394636015326,0.49266326594873733,0.19444444444444445,-0.013138614390221078,0.5136494252873562
K-Nearest Neighbors,90,0.6052631578947368,0.5210727969348659,0.5135481117985918,0.3611111111111111,0.038137070949438544,0.5801005747126436
Logistic Regression,66,0.5592105263157895,0.5196360153256705,0.49820152746982016,0.4444444444444444,0.033892087971105954,0.5478927203065135
SVM (Linear),66,0.5526315789473685,0.5153256704980842,0.4933333333333333,0.4444444444444444,0.026393586082163197,0.5468151340996169
SVM (RBF),66,0.6381578947368421,0.5522030651340997,0.5442403096549092,0.3888888888888889,0.09604232518181374,0.5690852490421456
MLP (Basic),66,0.5657894736842105,0.4760536398467433,0.4722222222222222,0.3055555555555556,-0.04291885021871706,0.5162835249042146
MLP (Deep),66,0.5723684210526315,0.4803639846743295,0.4766671963557392,0.3055555555555556,-0.03536045365307049,0.492816091954023
MLP (Very Deep),66,0.5855263157894737,0.48898467432950193,0.48557614826752615,0.3055555555555556,-0.02003968681458468,0.5220306513409961
XGBoost,66,0.6118421052631579,0.5349616858237548,0.5249748397690556,0.3888888888888889,0.06295885650424746,0.5433429118773947
Random Forest,66,0.6842105263157895,0.5344827586206897,0.5355233002291826,0.25,0.07366678219741685,0.5507662835249042
Gradient Boosting,66,0.7302631578947368,0.5550766283524904,0.5573549257759784,0.2222222222222222,0.1357163876303277,0.537595785440613
AdaBoost,66,0.7302631578947368,0.5742337164750958,0.5795722863118127,0.2777777777777778,0.17027056600295468,0.5438218390804598
HistGradientBoosting,66,0.6644736842105263,0.5311302681992337,0.5314030103366983,0.2777777777777778,0.06287328470870139,0.4889846743295019
K-Nearest Neighbors,66,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.5590277777777777
Logistic Regression,20,0.5921052631578947,0.5411877394636015,0.5225937183383992,0.4444444444444444,0.0720941912001088,0.5888409961685823
SVM (Linear),20,0.5789473684210527,0.5421455938697317,0.5181295819298594,0.4722222222222222,0.07291977484532604,0.5828544061302683
SVM (RBF),20,0.6776315789473685,0.5397509578544062,0.5406722170829479,0.2777777777777778,0.08198367612728423,0.5828544061302682
MLP (Basic),20,0.5855263157894737,0.51772030651341,0.5059588299024919,0.3888888888888889,0.0313555381223291,0.5423850574712644
MLP (Deep),20,0.5328947368421053,0.47365900383141757,0.4625230340156382,0.3611111111111111,-0.045693752200094334,0.5038314176245211
MLP (Very Deep),20,0.631578947368421,0.5287356321839081,0.525,0.3333333333333333,0.053875681986269665,0.5629789272030652
XGBoost,20,0.6842105263157895,0.4961685823754789,0.48864592094196807,0.1388888888888889,-0.009259482532652649,0.5727969348659003
Random Forest,20,0.6710526315789473,0.5067049808429119,0.5052083333333333,0.19444444444444445,0.014706791105134408,0.5720785440613027
Gradient Boosting,20,0.6973684210526315,0.4952107279693486,0.48207407407407404,0.1111111111111111,-0.012603497935914788,0.5699233716475096
AdaBoost,20,0.6973684210526315,0.5047892720306514,0.49654377880184336,0.1388888888888889,0.012046968725545984,0.6011733716475096
HistGradientBoosting,20,0.6118421052631579,0.4487547892720306,0.446931853222325,0.1388888888888889,-0.10568979934481221,0.5270593869731801
K-Nearest Neighbors,20,0.6578947368421053,0.5459770114942528,0.5438596491228069,0.3333333333333333,0.08877935232369505,0.5925526819923371
